Name,Compartment,Treat,Week,Group,Group_1,ID_its,ID_its_2,Group_common,Cultivar,plot
SRR8743214,Root,Postflowering,TP17,RPO17,Root_Postflowering_TP17,TP17R15,TP17R15,1,t642,15
SRR8743215,Root,Postflowering,TP17,RPO17,Root_Postflowering_TP17,TP17R21,TP17R21,1,t642,21
SRR8743216,Root,Control,TP02,RCO02,Root_Control_TP02,TP02R11t,TP2R11,1,t642,11
SRR8743217,Root,Control,TP02,RCO02,Root_Control_TP02,TP02R19,TP2R19,1,t642,19
SRR8743218,Root,Control,TP02,RCO02,Root_Control_TP02,TP02R2,TP2R2,1,t642,2
SRR8743219,Root,Control,TP03,RCO03,Root_Control_TP03,TP03R11,TP3R11,1,t642,11
SRR8743220,Root,Control,TP03,RCO03,Root_Control_TP03,TP03R19,TP3R19,1,t642,19
SRR8743221,Root,Control,TP03,RCO03,Root_Control_TP03,TP03R2r,TP3R2,1,t642,2
SRR8743222,Root,Control,TP04,RCO04,Root_Control_TP04,TP04R11,TP4R11,1,t642,11
SRR8743223,Root,Control,TP04,RCO04,Root_Control_TP04,TP04R19,TP4R19,1,t642,19
SRR8743224,Root,Control,TP04,RCO04,Root_Control_TP04,TP04R2,TP4R2,1,t642,2
SRR8743225,Root,Control,TP05,RCO05,Root_Control_TP05,TP05R11,TP5R11,1,t642,11
SRR8743226,Root,Control,TP05,RCO05,Root_Control_TP05,TP05R2,TP5R2,1,t642,2
SRR8743227,Root,Control,TP05,RCO05,Root_Control_TP05,TP05R19,TP5R19,1,t642,19
SRR8743228,Root,Control,TP06,RCO06,Root_Control_TP06,TP06R11,TP6R11,1,t642,11
SRR8743229,Root,Control,TP06,RCO06,Root_Control_TP06,TP06R19,TP6R19,1,t642,19
SRR8743230,Root,Control,TP06,RCO06,Root_Control_TP06,TP06R2,TP6R2,1,t642,2
SRR8743231,Root,Control,TP07,RCO07,Root_Control_TP07,TP07R11,TP7R11,1,t642,11
SRR8743232,Root,Control,TP08,RCO08,Root_Control_TP08,TP08R19,TP8R19,1,t642,19
SRR8743233,Root,Control,TP08,RCO08,Root_Control_TP08,TP08R11,TP8R11,1,t642,11
SRR8743234,Root,Control,TP08,RCO08,Root_Control_TP08,TP08R2,TP8R2,1,t642,2
SRR8743235,Root,Control,TP09,RCO09,Root_Control_TP09,TP09R19,TP9R19,1,t642,19
SRR8743236,Root,Control,TP09,RCO09,Root_Control_TP09,TP09R2,TP9R2,1,t642,2
SRR8743237,Root,Control,TP09,RCO09,Root_Control_TP09,TP09R11,TP9R11,1,t642,11
SRR8743238,Root,Control,TP10,RCO10,Root_Control_TP10,TP10R19,TP10R19,1,t642,19
SRR8743239,Root,Control,TP10,RCO10,Root_Control_TP10,TP10R11,TP10R11,1,t642,11
SRR8743240,Root,Control,TP10,RCO10,Root_Control_TP10,TP10R2,TP10R2,1,t642,2
SRR8743241,Root,Control,TP11,RCO11,Root_Control_TP11,TP11R19,TP11R19,1,t642,19
SRR8743242,Root,Control,TP11,RCO11,Root_Control_TP11,TP11R11,TP11R11,1,t642,11
SRR8743243,Root,Control,TP11,RCO11,Root_Control_TP11,TP11R02z,TP11R2,1,t642,2
SRR8743244,Root,Control,TP12,RCO12,Root_Control_TP12,TP12R11,TP12R11,1,t642,11
SRR8743245,Root,Control,TP12,RCO12,Root_Control_TP12,TP12R2,TP12R2,1,t642,2
SRR8743246,Root,Control,TP12,RCO12,Root_Control_TP12,TP12R19,TP12R19,1,t642,19
SRR8743247,Root,Control,TP13,RCO13,Root_Control_TP13,TP13R19,TP13R19,1,t642,19
SRR8743248,Root,Control,TP13,RCO13,Root_Control_TP13,TP13R2,TP13R2,1,t642,2
SRR8743249,Root,Control,TP13,RCO13,Root_Control_TP13,TP13R11,TP13R11,1,t642,11
SRR8743250,Root,Control,TP14,RCO14,Root_Control_TP14,TP14R11,TP14R11,1,t642,11
SRR8743251,Root,Control,TP15,RCO15,Root_Control_TP15,TP15R19,TP15R19,1,t642,19
SRR8743252,Root,Control,TP15,RCO15,Root_Control_TP15,TP15R11,TP15R11,1,t642,11
SRR8743253,Root,Control,TP17,RCO17,Root_Control_TP17,TP17R11,TP17R11,1,t642,11
SRR8743254,Root,Control,TP17,RCO17,Root_Control_TP17,TP17R19,TP17R19,1,t642,19
SRR8743255,Root,Control,TP17,RCO17,Root_Control_TP17,TP17R2,TP17R2,1,t642,2
