Name,Compartment,Treat,Week,Group,Group_1
SRR8743209_quant,Root,Postflowering,TP15,RPO15,Root_Postflowering_TP15
SRR8743210_quant,Root,Postflowering,TP15,RPO15,Root_Postflowering_TP15
SRR8743211_quant,Root,Postflowering,TP15,RPO15,Root_Postflowering_TP15
SRR8743212_quant,Root,Postflowering,TP16,RPO16,Root_Postflowering_TP16
SRR8743213_quant,Root,Postflowering,TP17,RPO17,Root_Postflowering_TP17
SRR8743214_quant,Root,Postflowering,TP17,RPO17,Root_Postflowering_TP17
SRR8743215_quant,Root,Postflowering,TP17,RPO17,Root_Postflowering_TP17
SRR8743216_quant,Root,Control,TP02,RCO02,Root_Control_TP02
SRR8743217_quant,Root,Control,TP02,RCO02,Root_Control_TP02
SRR8743218_quant,Root,Control,TP02,RCO02,Root_Control_TP02
SRR8743219_quant,Root,Control,TP03,RCO03,Root_Control_TP03
SRR8743220_quant,Root,Control,TP03,RCO03,Root_Control_TP03
SRR8743221_quant,Root,Control,TP03,RCO03,Root_Control_TP03
SRR8743222_quant,Root,Control,TP04,RCO04,Root_Control_TP04
SRR8743223_quant,Root,Control,TP04,RCO04,Root_Control_TP04
SRR8743224_quant,Root,Control,TP04,RCO04,Root_Control_TP04
SRR8743225_quant,Root,Control,TP05,RCO05,Root_Control_TP05
SRR8743226_quant,Root,Control,TP05,RCO05,Root_Control_TP05
SRR8743227_quant,Root,Control,TP05,RCO05,Root_Control_TP05
SRR8743228_quant,Root,Control,TP06,RCO06,Root_Control_TP06
SRR8743229_quant,Root,Control,TP06,RCO06,Root_Control_TP06
SRR8743230_quant,Root,Control,TP06,RCO06,Root_Control_TP06
SRR8743231_quant,Root,Control,TP07,RCO07,Root_Control_TP07
SRR8743232_quant,Root,Control,TP08,RCO08,Root_Control_TP08
SRR8743233_quant,Root,Control,TP08,RCO08,Root_Control_TP08
SRR8743234_quant,Root,Control,TP08,RCO08,Root_Control_TP08
SRR8743235_quant,Root,Control,TP09,RCO09,Root_Control_TP09
SRR8743236_quant,Root,Control,TP09,RCO09,Root_Control_TP09
SRR8743237_quant,Root,Control,TP09,RCO09,Root_Control_TP09
SRR8743238_quant,Root,Control,TP10,RCO10,Root_Control_TP10
SRR8743239_quant,Root,Control,TP10,RCO10,Root_Control_TP10
SRR8743240_quant,Root,Control,TP10,RCO10,Root_Control_TP10
SRR8743241_quant,Root,Control,TP11,RCO11,Root_Control_TP11
SRR8743242_quant,Root,Control,TP11,RCO11,Root_Control_TP11
SRR8743243_quant,Root,Control,TP11,RCO11,Root_Control_TP11
SRR8743244_quant,Root,Control,TP12,RCO12,Root_Control_TP12
SRR8743245_quant,Root,Control,TP12,RCO12,Root_Control_TP12
SRR8743246_quant,Root,Control,TP12,RCO12,Root_Control_TP12
SRR8743247_quant,Root,Control,TP13,RCO13,Root_Control_TP13
SRR8743248_quant,Root,Control,TP13,RCO13,Root_Control_TP13
SRR8743249_quant,Root,Control,TP13,RCO13,Root_Control_TP13
SRR8743250_quant,Root,Control,TP14,RCO14,Root_Control_TP14
SRR8743251_quant,Root,Control,TP15,RCO15,Root_Control_TP15
SRR8743252_quant,Root,Control,TP15,RCO15,Root_Control_TP15
SRR8743253_quant,Root,Control,TP17,RCO17,Root_Control_TP17
SRR8743254_quant,Root,Control,TP17,RCO17,Root_Control_TP17
SRR8743255_quant,Root,Control,TP17,RCO17,Root_Control_TP17
