,RCO02,RCO03,RCO04,RCO05,RCO06,RCO07,RCO08,RCO09,RCO10,RCO11,RCO12,RCO13,RCO14,RCO15,RCO16,RCO17,RPO09,RPO10,RPO11,RPO12,RPO13,RPO14,RPO15,RPO16,RPO17,RPR03,RPR04,RPR05,RPR06,RPR07,RPR08,RPR09,RPR10,RPR11,RPR12,RPR13,RPR14,RPR15,RPR16,RPR17,SCO04,SCO08,SCO09,SCO10,SCO11,SPO10,SPO11,SPR04,SPR08,SPR09,SPR10,ZCO03,ZCO04,ZCO08,ZCO09,ZCO10,ZCO11,ZPO10,ZPO11,ZPR03,ZPR04,ZPR08,ZPR09,ZPR10
K07560,0,6.322566667,0,0,5.5924,0,10.33998333,2.724233333,21.9885,6.860566667,11.55622,16.08198333,0,1.92592,15.83497,15.06803333,14.5941,18.12558333,0,0,0,0,5.496333333,0,22.39168333,0,0,0,0,0,0,0,0,0,0,22.31633333,13.7161,9.7791,0,13.04608333,0,0,3.96347,0,0,0,0,4.33315,0,1.238135,0,0,0,0,0,0,0.72328,0,0,0,0,0,0,0
K14568,0,0,0,0,1.9778,1.94192,0,2.84268,7.84015,7.298798333,16.425702,6.613285,6.12935,4.437684,1.419332,7.141413333,2.406166667,0,2.756316667,0,1.90435,0,0,0,8.90084,0,0,0,0,0,6.69416,0,0,0,0,4.76275,22.394,2.6123,3.17996,6.847936,1.15784,0,0,0,0,0,0,0.506445,0,0.514995,0,0,0,0,0.3652865,0.4471865,0,0,0,0,0,0,0,0
K01768,1.976069167,0,0,0.67054,1.9889125,0.581728,3.466101667,0.548266667,2.972658667,5.185047,10.875246,10.4687055,22.4678725,8.8291386,8.200848,17.422277,1.613026167,3.823529833,7.45669,3.773361,2.187166667,6.8067375,1.116018667,3.06756,8.285593333,0,0,0,0,0,0,0.972975,2.032824833,0.790165,8.157226667,4.067440167,6.2775105,4.0183055,6.041651,12.97269567,0.678475,3.4807765,0.471507,2.208549,0.5734535,0.6059095,0.810646,1.1570265,0,1.6779075,0,0.123524,0.0964465,0.872435,0.080734,0.409785,0.1466905,0.2181725,0.1632905,0.417029,0,1.2027,0,0.169421
K14769,0,0,0,0,6.504151667,2.777395,1.616621667,6.91092,19.78845,0,11.421192,18.58824167,12.803845,6.511888,9.9268,22.46985,9.654133333,7.2515,17.91245333,0,2.5531,9.54155,0,7.2397,16.97833333,0,0,0,0,0,0,0,0,5.413933333,4.349583333,0,0,9.4287,15.98415,20.71303333,1.53881,0,0,0.556985,0,0,0,2.619246,0,0,0,0,0,0,0,0,0.880064,0,0,0,0,0,0,0.699825
K14693,1.383953333,0,0,0,0,2.13901,2.4179,1.946533333,3.004318333,8.938628333,8.637508,16.19608833,7.3855,22.505784,17.66492,15.29034,9.09935,21.17320167,9.229461667,8.06991,9.015005,2.591885,0,11.376995,10.53563333,0,0,0,0,0,2.12654,1.8109,3.884683333,2.39865,11.5095,4.868641667,14.026855,3.8298825,3.27466,11.41372833,0.40741,0.339961,0,0,0.378891,1.27532,0.2224665,0.19741,0,0,0,0,0,0,0,0.356425,0,0,0.8220535,0,0,0,0,0.425373
K10747,3.099763333,1.657525,0,5.261235,0.457158333,4.84572,3.783583333,5.129528333,6.377171667,18.84211833,11.405482,8.05641,18.275065,13.655816,16.590329,16.89671833,5.678466667,4.651195,17.08890333,22.52905,6.801445,5.18372,2.881836667,2.22571,9.564105,0,0,0,0.891553333,0,0,0,3.997183333,0,7.190383333,1.417221667,13.08854,1.9538575,6.537275,14.76213167,1.3419115,0.4054195,0.4183515,0.781433,0.621978,1.357937,0.263587,2.4183435,0,1.246003,0.1793895,0,0,0,0,0.2263235,0,0,0.2227425,0.930985,0.1809405,0,0,0.272543
K17656,5.978846667,4.648423333,0,0,0,1.5651,2.883266667,2.09376,12.94385167,14.177985,13.59477,14.052325,14.48824,7.875526,15.2869,22.59869833,5.53,2.401466667,3.31653,6.30315,4.888943333,0,4.898781667,0,0,0,0,0,1.176536667,0,0,4.254066667,2.095533333,0,4.250283333,7.857353333,19.88529,6.629365,3.167455,12.393195,0,1.4582935,0,0.4241625,1.7593035,0,0.462155,2.094173,0,0.734835,0.694965,1.7512,0,0,0,0,0,0,0.3571855,0.841125,0,0,0,0.495174
K19986,4.260615,0,0,0,0,0,2.111383333,1.8408,2.489766667,3.891838333,11.66117,15.80387667,20.010125,16.714584,14.2418,22.322815,2.35851,5.664183333,6.823475,3.65372,7.986673333,9.856735,7.81828,4.304195,6.4225,0,0,0,0,0,0,2.887516667,1.364985,0,4.87765,8.5743,12.92139,4.923725,10.8569,22.61004167,0.4935255,0.2444715,0.277233,0,0,0.253258,0.9330925,2.543444,0,2.781273,0,0.3602345,0,0.5271375,0,0.963838,0.1498705,0,0.4605825,1.79219,0,0,0,0
K15030,7.774575,0,0,5.5501,5.04227,4.45733,0.846116667,3.051471667,6.006516667,12.75721667,17.460706,20.335815,12.9662,13.395018,12.35949,20.01749667,6.263233333,1.290176667,5.582493333,22.6257,3.695606667,5.1226,1.410561667,5.1422,4.78425,0,0,0,0,0,0,0,4.667483333,0,6.666016667,6.434868333,13.7029,1.88024,5.21565,16.50930167,0.4718425,0.380307,0.855621,0,1.132347,0.40054,0,2.596475,0,0.767139,0,0,0,0.453399,0,0.3345995,0.2350505,0,0.744716,0,0,0,0,0
K02684,2.817885,0,0,3.135433333,1.797711667,1.421,0,2.53038,6.991683333,2.54274,16.096416,11.37768667,12.062105,11.684752,13.37538,15.81212333,7.659883333,9.933977833,17.26426667,9.55735,5.610765,4.807085,1.222968333,0,12.13798333,0.656813333,0,0,0,0,0,0,0,0,8.11705,1.471025,13.2372,17.285902,0.992215,22.633125,0.677875,0,0,0.384106,0,0,0.21819,0.479322,0,0,0,0,0,0.721197,0,0,0,0,0.327188,0,0,0,0,0
