ID,Group,Group2
TP10B12Z_S11_L002,Metagenome_Rhizosphere_Control_TP10,TP10Z12_L002
TP10B21S_S5_L001,Metagenome_Soil_Postflowering_TP10,TP10S21_L001
TP10B21Z_S12_L002,Metagenome_Rhizosphere_Postflowering_TP10,TP10Z21_L002
TP10B22S_S6_L001,Metagenome_Soil_Postflowering_TP10,TP10S22_L001
TP10B22Z_S13_L002,Metagenome_Rhizosphere_Postflowering_TP10,TP10Z22_L002
TP10B5S_S1_L001,Metagenome_Soil_Preflowering_TP10,TP10S5_L001
TP10B5Z_S7_L001,Metagenome_Rhizosphere_Preflowering_TP10,TP10Z5_L001
TP10B6S_S2_L001,Metagenome_Soil_Preflowering_TP10,TP10S6_L001
TP10B6Z_S8_L001,Metagenome_Rhizosphere_Preflowering_TP10,TP10Z6_L001
TP11B11S_S14_L002,Metagenome_Soil_Control_TP11,TP11S11_L002
TP11B11Z_S1_L001,Metagenome_Rhizosphere_Control_TP11,TP11Z11_L001
TP11B12S_S15_L002,Metagenome_Soil_Control_TP11,TP11S12_L002
TP11B12Z_S2_L001,Metagenome_Rhizosphere_Control_TP11,TP11Z12_L001
TP11B21S_S16_L002,Metagenome_Soil_Postflowering_TP11,TP11S21_L002
TP11B21Z_S3_L001,Metagenome_Rhizosphere_Postflowering_TP11,TP11Z21_L001
TP11B22S_S17_L002,Metagenome_Soil_Postflowering_TP11,TP11S22_L002
TP11B22Z_S4_L001,Metagenome_Rhizosphere_Postflowering_TP11,TP11Z22_L001
TP3B11S_S3_L001,Metagenome_Soil_Control_TP03,TP03S11_L001
TP3B11S_S3_L002,Metagenome_Soil_Control_TP03,TP03S11_L002
TP3B11Z_S7_L001,Metagenome_Rhizosphere_Control_TP03,TP03Z11_L001
TP3B11Z_S7_L002,Metagenome_Rhizosphere_Control_TP03,TP03Z11_L002
TP3B12S_S4_L001,Metagenome_Soil_Control_TP03,TP03S12_L001
TP3B12S_S4_L002,Metagenome_Soil_Control_TP03,TP03S12_L002
TP3B12Z_S8_L001,Metagenome_Rhizosphere_Control_TP03,TP03Z12_L001
TP3B12Z_S8_L002,Metagenome_Rhizosphere_Control_TP03,TP03Z12_L002
TP3B5S_S1_L001,Metagenome_Soil_Preflowering_TP03,TP03S5_L001
TP3B5S_S1_L002,Metagenome_Soil_Preflowering_TP03,TP03S5_L002
TP3B5Z_S5_L001,Metagenome_Rhizosphere_Preflowering_TP03,TP03Z5_L001
TP3B5Z_S5_L002,Metagenome_Rhizosphere_Preflowering_TP03,TP03Z5_L002
TP3B6S_S2_L001,Metagenome_Soil_Preflowering_TP03,TP03S6_L001
TP3B6S_S2_L002,Metagenome_Soil_Preflowering_TP03,TP03S6_L002
TP3B6Z_S6_L001,Metagenome_Rhizosphere_Preflowering_TP03,TP03Z6_L001
TP3B6Z_S6_L002,Metagenome_Rhizosphere_Preflowering_TP03,TP03Z6_L002
TP4B11S_S6_L001,Metagenome_Soil_Control_TP04,TP04S11_L001
TP4B11Z_S7_L001,Metagenome_Rhizosphere_Control_TP04,TP04Z11_L001
TP4B12S_S18_L002,Metagenome_Soil_Control_TP04,TP04S12_L002
TP4B12Z_S8_L001,Metagenome_Rhizosphere_Control_TP04,TP04Z12_L001
TP4B5S_S1_L001,Metagenome_Soil_Preflowering_TP04,TP04S5_L001
TP4B5S_S1_L002,Metagenome_Soil_Preflowering_TP04,TP04S5_L002
TP4B5Z_S9_L001,Metagenome_Rhizosphere_Preflowering_TP04,TP04Z5_L001
TP4B6S_S5_L001,Metagenome_Soil_Preflowering_TP04,TP04S6_L001
TP4B6Z_S18_L002,Metagenome_Rhizosphere_Preflowering_TP04,TP04Z6_L002
TP8B11S_S12_L002,Metagenome_Soil_Control_TP08,TP08S11_L002
TP8B11Z_S16_L002,Metagenome_Rhizosphere_Control_TP08,TP08Z11_L002
TP8B12S_S13_L002,Metagenome_Soil_Control_TP08,TP08S12_L002
TP8B12Z_S17_L002,Metagenome_Rhizosphere_Control_TP08,TP08Z12_L002
TP8B5S_S10_L002,Metagenome_Soil_Preflowering_TP08,TP08S5_L002
TP8B5Z_S14_L002,Metagenome_Rhizosphere_Preflowering_TP08,TP08Z5_L002
TP8B6S_S11_L002,Metagenome_Soil_Preflowering_TP08,TP08S6_L002
TP8B6Z_S15_L002,Metagenome_Rhizosphere_Preflowering_TP08,TP08Z6_L002
TP9B11S_S3_L001,Metagenome_Soil_Control_TP09,TP09S11_L001
