AMF_induced_gene,Module_all,Module1,Module3,Module4
Sobic.006G003601,Sobic.002G067000,,Sobic.005G063600,Sobic.008G104500
Sobic.004G188701,Sobic.002G083500,,Sobic.005G064700,Sobic.008G106200
Sobic.006G102500,Sobic.002G104100,,Sobic.005G065900,Sobic.008G106800
Sobic.006G101900,Sobic.002G108200,,Sobic.005G066000,Sobic.008G109300
Sobic.004G332700,Sobic.002G116800,,Sobic.005G066100,Sobic.008G109400
Sobic.002G201900,Sobic.002G117700,,Sobic.005G069500,Sobic.008G111100
Sobic.002G073600,Sobic.002G131300,,Sobic.005G072600,Sobic.008G117000
Sobic.001G454100,Sobic.002G156200,,Sobic.005G072700,Sobic.008G118300
Sobic.002G004900,Sobic.002G214600,,Sobic.005G087600,Sobic.008G122200
Sobic.002G338500,Sobic.002G226800,,Sobic.005G098400,Sobic.008G130200
Sobic.004G049300,Sobic.002G245000,,Sobic.005G099500,Sobic.008G130350
Sobic.003G192200,Sobic.002G260900,,Sobic.005G107900,Sobic.008G132300
Sobic.007G061800,Sobic.002G273600,,Sobic.005G110553,Sobic.008G134700
Sobic.001G297600,Sobic.002G310200,,Sobic.005G110600,Sobic.008G135401
Sobic.001G543500,Sobic.002G326800,,Sobic.005G112100,Sobic.008G151000
Sobic.004G099300,Sobic.002G331000,,Sobic.005G121700,Sobic.008G172800
Sobic.010G276100,Sobic.002G331050,,Sobic.005G129600,Sobic.008G180500
Sobic.004G358100,Sobic.002G388600,,Sobic.005G140001,Sobic.008G192100
Sobic.005G191900,Sobic.002G390500,,Sobic.005G144600,Sobic.009G011200
Sobic.001G312900,Sobic.002G393400,,Sobic.005G149600,Sobic.009G011300
Sobic.001G282600,Sobic.002G400400,,Sobic.005G163800,Sobic.009G047600
Sobic.001G032200,Sobic.002G418100,,Sobic.005G169700,Sobic.009G052901
Sobic.001G391600,Sobic.002G429800,,Sobic.005G171300,Sobic.009G057400
Sobic.004G255600,Sobic.003G027700,,Sobic.005G172500,Sobic.009G074100
Sobic.004G024500,Sobic.003G086200,,Sobic.005G192500,Sobic.009G100100
Sobic.005G058800,Sobic.003G100700,,Sobic.005G219700,Sobic.009G107500
Sobic.003G153800,Sobic.003G106000,,Sobic.005G219900,Sobic.009G108300
Sobic.004G172700,Sobic.003G197300,,Sobic.005G222600,Sobic.009G124600
Sobic.004G163800,Sobic.003G244000,,Sobic.005G228250,Sobic.009G129800
Sobic.004G102200,Sobic.003G279700,,Sobic.005G229100,Sobic.009G129900
Sobic.003G026400,Sobic.003G292000,,Sobic.006G001000,Sobic.009G136700
Sobic.009G075900,Sobic.003G313700,,Sobic.006G001600,Sobic.009G145000
Sobic.004G238100,Sobic.003G354500,,Sobic.006G008100,Sobic.009G150100
Sobic.010G092600,Sobic.003G354600,,Sobic.006G013300,Sobic.009G152300
Sobic.007G039600,Sobic.003G368200,,Sobic.006G014400,Sobic.009G157800
Sobic.007G038500,Sobic.003G370700,,Sobic.006G017600,Sobic.009G160100
Sobic.003G098100,Sobic.003G381400,,Sobic.006G022200,Sobic.009G161700
Sobic.001G505100,Sobic.003G386100,,Sobic.006G028900,Sobic.009G161900
Sobic.003G445300,Sobic.003G411400,,Sobic.006G053000,Sobic.009G164400
Sobic.010G146100,Sobic.003G416000,,Sobic.006G063800,Sobic.009G171400
