"","KO_richness","KO_shannon","KO_Simpson","OTU_richness","OTU_shannon","OTU_Simpson","NA","Treat","Week","NA","NA","NA","NA","NA","Cultivar","NA","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs","mpd.obs.z.1"
"SRR8743093_quant",6636,"8.4396","0.9669",12,"2.8722","0.8177","Root","Preflowering drought",17,"RPR17","Root_Preflowering_TP17","TP17R18","TP17R18",1,"t430",18,12,0.147679964484389,0.445801056538338,0.0690515158428003,1,-4.31737215925337,0.001,999,4.31737215925337
"SRR8743094_quant",6854,"8.3625","0.9614",10,"2.9091","0.8407","Root","Preflowering drought",17,"RPR17","Root_Preflowering_TP17","TP17R13","TP17R13",1,"t430",13,10,0.182753739344812,0.458498371679206,0.0668365544746736,1,-4.12565600518624,0.001,999,4.12565600518624
"SRR8743095_quant",11655,"9.3045","0.9830",11,"2.7002","0.7911","Root","Preflowering drought",17,"RPR17","Root_Preflowering_TP17","TP17R5","TP17R5",1,"t430",5,11,0.20245930271809,0.430730053552496,0.0715283906528892,1,-3.19133072547587,0.001,999,3.19133072547587
"SRR8743096_quant",6065,"8.2212","0.9718",13,"3.0956","0.8398","Root","Postflowering drought",9,"RPO09","Root_Postflowering_TP09","TP09R3","TP9R3",1,"t430",3,13,0.195036040995409,0.459272433625922,0.0628802440682293,1,-4.20221639635812,0.001,999,4.20221639635812
"SRR8743097_quant",3019,"7.0973","0.9543",16,"3.4799","0.8724","Root","Postflowering drought",9,"RPO09","Root_Postflowering_TP09","TP09R22","TP9R22",1,"t430",22,16,0.254972382085859,0.477519197464419,0.053922990234663,1,-4.12712303991448,0.001,999,4.12712303991448
"SRR8743098_quant",4999,"7.9398","0.9713",14,"3.2631","0.8724","Root","Postflowering drought",9,"RPO09","Root_Postflowering_TP09","TP09R16","TP9R16",1,"t430",16,14,0.1606985565955,0.476751051711216,0.0606290333296093,1,-5.21289022369034,0.001,999,5.21289022369034
"SRR8743099_quant",2482,"5.3905","0.8748",12,"2.4480","0.7066","Root","Postflowering drought",10,"RPO10","Root_Postflowering_TP10","TP10R3","TP10R3",1,"t430",3,12,0.240583956860882,0.38911870829172,0.0687454847104889,21,-2.16064738006241,0.021,999,2.16064738006241
"SRR8743100_quant",4714,"7.8174","0.9729",14,"3.1519","0.8430","Root","Postflowering drought",10,"RPO10","Root_Postflowering_TP10","TP10R22","TP10R22",1,"t430",22,14,0.172297353714417,0.460437868223416,0.0612339717543062,1,-4.70556630990927,0.001,999,4.70556630990927
"SRR8743104_quant",4845,"5.6840","0.8849",10,"2.9345","0.8462","Root","Postflowering drought",11,"RPO11","Root_Postflowering_TP11","TP11R16","TP11R16",1,"t430",16,10,0.177568963099174,0.463803296991016,0.0647172362050679,1,-4.42284545317818,0.001,999,4.42284545317818
"SRR8743109_quant",4667,"6.4185","0.9039",13,"3.0648","0.8315","Root","Postflowering drought",14,"RPO14","Root_Postflowering_TP14","TP14R22","TP14R22",1,"t430",22,13,0.25911889910652,0.455715077769417,0.0616518776525592,2,-3.18881088700689,0.002,999,3.18881088700689
"SRR8743110_quant",3236,"4.8330","0.8168",18,"3.5724","0.8834","Root","Postflowering drought",15,"RPO15","Root_Postflowering_TP15","TP15R3","TP15R3",1,"t430",3,18,0.248634086927456,0.484224912008281,0.0537112357945863,1,-4.38624845612974,0.001,999,4.38624845612974
"SRR8743114_quant",4284,"6.6108","0.9020",13,"3.1054","0.8494","Root","Postflowering drought",17,"RPO17","Root_Postflowering_TP17","TP17R22","TP17R22",1,"t430",22,13,0.18428367509045,0.462947130568754,0.0646162008533434,1,-4.31259423794931,0.001,999,4.31259423794931
"SRR8743117_quant",2466,"2.6872","0.6272",6,"1.6654","0.6074","Root","Control",2,"RCO02","Root_Control_TP02","TP02R12","TP2R12",1,"t430",12,6,0.348276115251148,0.333345552748658,0.100406844680461,495,0.148700644363492,0.495,999,-0.148700644363492
