"","KO_richness","KO_shannon","KO_Simpson","OTU_richness","OTU_shannon","OTU_Simpson","NA","Treat","Week","NA","NA","NA","NA","NA","Cultivar","NA","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs","mpd.obs.z.1"
"SRR8743184_quant",3819,"5.6345","0.8982",11,"2.7087","0.7824","Root","Preflowering drought",12,"RPR12","Root_Preflowering_TP12","TP12R17","TP12R17",1,"t642",17,11,0.133572101371442,0.427861315336,0.0735228832394133,1,-4.0026887004181,0.001,999,4.0026887004181
"SRR8743185_quant",7014,"6.9996","0.9350",9,"2.7041","0.8173","Root","Preflowering drought",13,"RPR13","Root_Preflowering_TP13","TP13R14","TP13R14",1,"t642",14,9,0.0994790100142332,0.446130266562931,0.0729279657283106,1,-4.75333780514499,0.001,999,4.75333780514499
"SRR8743186_quant",5231,"5.7145","0.8561",10,"2.7282","0.7948","Root","Preflowering drought",13,"RPR13","Root_Preflowering_TP13","TP13R17","TP13R17",1,"t642",17,10,0.20143487880303,0.436661205377526,0.0698812655679739,2,-3.36608566920829,0.002,999,3.36608566920829
"SRR8743187_quant",5139,"6.2142","0.9034",15,"3.3328","0.8765","Root","Preflowering drought",13,"RPR13","Root_Preflowering_TP13","TP13R6","TP13R6",1,"t642",6,15,0.224735010436639,0.479096046854592,0.0590607450590564,1,-4.30676985472517,0.001,999,4.30676985472517
"SRR8743188_quant",7429,"8.5341","0.9752",11,"2.8419","0.8182","Root","Preflowering drought",14,"RPR14","Root_Preflowering_TP14","TP14R6","TP14R6",1,"t642",6,11,0.157201041976584,0.446396612432138,0.0688657716578468,1,-4.19940942348537,0.001,999,4.19940942348537
"SRR8743189_quant",6921,"7.5074","0.9373",11,"3.0489","0.8531","Root","Preflowering drought",15,"RPR15","Root_Preflowering_TP15","TP15R14","TP15R14",1,"t642",14,11,0.162911314337466,0.465750140762521,0.0638142148977028,1,-4.74563272321881,0.001,999,4.74563272321881
"SRR8743190_quant",5564,"6.9143","0.9148",11,"3.1179","0.8655","Root","Preflowering drought",15,"RPR15","Root_Preflowering_TP15","TP15R17","TP15R17",1,"t642",17,11,0.198051980812213,0.473359799368238,0.0617499718490964,1,-4.45842824396452,0.001,999,4.45842824396452
"SRR8743191_quant",13252,"6.3952","0.8250",11,"3.0269","0.8572","Root","Preflowering drought",16,"RPR16","Root_Preflowering_TP16","TP16R6","TP16R6",1,"t642",6,11,0.202656093564738,0.467237646931444,0.0661424827965809,1,-4.0001757143048,0.001,999,4.0001757143048
"SRR8743192_quant",9779,"9.0160","0.9825",16,"3.2448","0.8476","Root","Preflowering drought",17,"RPR17","Root_Preflowering_TP17","TP17R6","TP17R6",1,"t642",6,16,0.223493191695133,0.462230966084702,0.0617094067719036,1,-3.86874200998261,0.001,999,3.86874200998261
"SRR8743193_quant",11008,"9.4668","0.9841",10,"2.7408","0.8113","Root","Preflowering drought",17,"RPR17","Root_Preflowering_TP17","TP17R14","TP17R14",1,"t642",14,10,0.137009982236455,0.444652806495591,0.0696158389206176,1,-4.41914985194588,0.001,999,4.41914985194588
"SRR8743194_quant",11789,"9.7170","0.9885",10,"2.7311","0.8150","Root","Preflowering drought",17,"RPR17","Root_Preflowering_TP17","TP17R17","TP17R17",1,"t642",17,10,0.140890680004591,0.445824506177162,0.0718837415495348,1,-4.24204165781273,0.001,999,4.24204165781273
"SRR8743195_quant",4081,"6.6250","0.9307",15,"3.3301","0.8673","Root","Postflowering drought",9,"RPO09","Root_Postflowering_TP09","TP09R4","TP9R4",1,"t642",4,15,0.219375837751607,0.474387981510522,0.059383163124873,1,-4.29435096312849,0.001,999,4.29435096312849
"SRR8743196_quant",3235,"5.4711","0.8786",14,"3.2142","0.8503","Root","Postflowering drought",9,"RPO09","Root_Postflowering_TP09","TP09R21","TP9R21",1,"t642",21,14,0.221112209663453,0.464925966186549,0.0613710167821613,1,-3.97278339690088,0.001,999,3.97278339690088
"SRR8743197_quant",8285,"8.4911","0.9708",14,"3.3375","0.8783","Root","Postflowering drought",9,"RPO09","Root_Postflowering_TP09","TP09R15","TP9R15",1,"t642",15,14,0.20118793631405,0.480207053114572,0.0581064229225942,1,-4.80186359384425,0.001,999,4.80186359384425
"SRR8743198_quant",2531,"6.1714","0.9484",11,"3.1240","0.8623","Root","Postflowering drought",10,"RPO10","Root_Postflowering_TP10","TP10R4","TP10R4",1,"t642",4,11,0.285163888161157,0.471861530471924,0.0617738400259126,4,-3.0222767798222,0.004,999,3.0222767798222
"SRR8743199_quant",2817,"6.2803","0.9334",11,"2.8690","0.8095","Root","Postflowering drought",10,"RPO10","Root_Postflowering_TP10","TP10R21","TP10R21",1,"t642",21,11,0.228117391198347,0.4437184670676,0.0655135493779741,2,-3.29093871292736,0.002,999,3.29093871292736
"SRR8743200_quant",9227,"7.7124","0.9504",14,"3.5482","0.8999","Root","Postflowering drought",10,"RPO10","Root_Postflowering_TP10","TP10R15","TP10R15",1,"t642",15,14,0.301313257161616,0.494361065057351,0.0512040531236042,2,-3.7701665418893,0.002,999,3.7701665418893
"SRR8743201_quant",7415,"7.9707","0.9642",15,"3.5503","0.8976","Root","Postflowering drought",11,"RPO11","Root_Postflowering_TP11","TP11R4","TP11R4",1,"t642",4,15,0.272001462067034,0.491273525545176,0.0530127231520121,1,-4.13621580708818,0.001,999,4.13621580708818
"SRR8743202_quant",950,"4.0160","0.8259",13,"3.2681","0.8696","Root","Postflowering drought",11,"RPO11","Root_Postflowering_TP11","TP11R21","TP11R21",1,"t642",21,13,0.275046530449036,0.476396339944959,0.0596071412524619,2,-3.37794776372717,0.002,999,3.37794776372717
"SRR8743203_quant",7227,"7.5772","0.9592",9,"2.6320","0.8067","Root","Postflowering drought",11,"RPO11","Root_Postflowering_TP11","TP11R15","TP11R15",1,"t642",15,9,0.112419689857668,0.440587298034865,0.0737125364436345,1,-4.45199180505932,0.001,999,4.45199180505932
"SRR8743204_quant",4543,"5.6033","0.8699",14,"3.4379","0.8949","Root","Postflowering drought",12,"RPO12","Root_Postflowering_TP12","TP12R21","TP12R21",1,"t642",21,14,0.276551817808081,0.491983978500689,0.0537613461810595,2,-4.00719431330957,0.002,999,4.00719431330957
"SRR8743205_quant",5478,"7.0082","0.9288",12,"3.3740","0.8921","Root","Postflowering drought",13,"RPO13","Root_Postflowering_TP13","TP13R4","TP13R4",1,"t642",4,12,0.263959656740129,0.48783101762193,0.0559268450246142,1,-4.00293205853598,0.001,999,4.00293205853598
"SRR8743208_quant",7249,"7.5790","0.9436",13,"3.2897","0.8714","Root","Postflowering drought",14,"RPO14","Root_Postflowering_TP14","TP14R21","TP14R21",1,"t642",21,13,0.241957791788797,0.477275382605731,0.0574884070377142,1,-4.09330511910964,0.001,999,4.09330511910964
"SRR8743211_quant",2310,"4.4513","0.7998",14,"3.1008","0.8466","Root","Postflowering drought",15,"RPO15","Root_Postflowering_TP15","TP15R4","TP15R4",1,"t642",4,14,0.27013334524472,0.463561383088055,0.0647037055687399,5,-2.98944297151329,0.005,999,2.98944297151329
"SRR8743213_quant",5420,"7.4253","0.9477",12,"2.6339","0.7388","Root","Postflowering drought",17,"RPO17","Root_Postflowering_TP17","TP17R4","TP17R4",1,"t642",4,12,0.149984179022039,0.402722013845957,0.0670906372351636,1,-3.76711036352257,0.001,999,3.76711036352257
"SRR8743216_quant",3785,"3.2343","0.6869",4,"1.2804","0.5032","Root","Control",2,"RCO02","Root_Control_TP02","TP02R11t","TP2R11",1,"t642",11,4,0.30679360153719,0.276896622240727,0.0917592372320057,544,0.325819832404132,0.544,999,-0.325819832404132
"SRR8743217_quant",6231,"4.1948","0.7140",7,"1.6267","0.5927","Root","Control",2,"RCO02","Root_Control_TP02","TP02R19","TP2R19",1,"t642",19,7,0.325642024551423,0.325885236452227,0.0999781061611262,465,-0.00243265160886424,0.465,999,0.00243265160886424
"SRR8743219_quant",256,"2.6758","0.7067",6,"1.5230","0.5845","Root","Control",3,"RCO03","Root_Control_TP03","TP03R11","TP3R11",1,"t642",11,6,0.359860975996786,0.321968427125851,0.108732554058562,543,0.34849313711997,0.543,999,-0.34849313711997
"SRR8743220_quant",2196,"4.0529","0.8246",12,"2.6317","0.7585","Root","Control",3,"RCO03","Root_Control_TP03","TP03R19","TP3R19",1,"t642",19,12,0.332553710560606,0.418743460091126,0.0715149751050778,132,-1.20519862313984,0.132,999,1.20519862313984
"SRR8743221_quant",911,"3.4446","0.7698",6,"0.9901","0.2975","Root","Control",3,"RCO03","Root_Control_TP03","TP03R2r","TP3R2",1,"t642",2,6,0.06488912312764,0.165483970383865,0.0424243760353658,7,-2.3711567890207,0.007,999,2.3711567890207
"SRR8743222_quant",247,"2.5451","0.6377",6,"1.8949","0.6979","Root","Control",4,"RCO04","Root_Control_TP04","TP04R11","TP4R11",1,"t642",11,6,0.329256152493572,0.38319225864737,0.0967767619602472,276,-0.557324972041871,0.276,999,0.557324972041871
"SRR8743223_quant",275,"2.6866","0.7093",6,"1.3032","0.5023","Root","Control",4,"RCO04","Root_Control_TP04","TP04R19","TP4R19",1,"t642",19,6,0.292938153660698,0.27590617606531,0.0999733225471797,502,0.170365225056414,0.502,999,-0.170365225056414
"SRR8743224_quant",434,"2.8334","0.7225",6,"1.9072","0.7034","Root","Control",4,"RCO04","Root_Control_TP04","TP04R2","TP4R2",1,"t642",2,6,0.307209806971074,0.385321343766451,0.0970548127622488,221,-0.804818788190585,0.221,999,0.804818788190585
"SRR8743225_quant",1286,"2.2642","0.5810",9,"1.8780","0.5868","Root","Control",5,"RCO05","Root_Control_TP05","TP05R11","TP5R11",1,"t642",11,9,0.244365682959137,0.323442542416879,0.0745851756928473,159,-1.06022220532659,0.159,999,1.06022220532659
"SRR8743226_quant",1395,"4.6269","0.8854",3,"0.8535","0.3577","Root","Control",5,"RCO05","Root_Control_TP05","TP05R2","TP5R2",1,"t642",2,3,0.223176614637282,0.196933833388896,0.082703229032885,531,0.317312655808769,0.531,999,-0.317312655808769
"SRR8743227_quant",618,"4.0860","0.8565",10,"2.1152","0.6713","Root","Control",5,"RCO05","Root_Control_TP05","TP05R19","TP5R19",1,"t642",19,10,0.317442850727273,0.369372304416372,0.0887827572446768,302,-0.584904719122279,0.302,999,0.584904719122279
"SRR8743229_quant",3337,"4.0279","0.7852",11,"2.5634","0.7511","Root","Control",6,"RCO06","Root_Control_TP06","TP06R19","TP6R19",1,"t642",19,11,0.310642983305326,0.413437133781475,0.0759546741804224,108,-1.35336174613787,0.108,999,1.35336174613787
"SRR8743231_quant",4783,"2.8618","0.6218",10,"2.9315","0.8398","Root","Control",7,"RCO07","Root_Control_TP07","TP07R11","TP7R11",1,"t642",11,10,0.203124220288338,0.45978824583269,0.0667620426683659,1,-3.8444603443203,0.001,999,3.8444603443203
"SRR8743232_quant",2747,"5.1289","0.8691",11,"2.9657","0.8393","Root","Control",8,"RCO08","Root_Control_TP08","TP08R19","TP8R19",1,"t642",19,11,0.164819599668503,0.460131768223758,0.0662185360115041,1,-4.45966018493599,0.001,999,4.45966018493599
"SRR8743233_quant",2290,"5.7691","0.9103",14,"3.2091","0.8471","Root","Control",8,"RCO08","Root_Control_TP08","TP08R11","TP8R11",1,"t642",11,14,0.205800267165748,0.462858740079322,0.0598146413950205,1,-4.29758445287567,0.001,999,4.29758445287567
"SRR8743234_quant",2405,"3.3539","0.7465",15,"2.8512","0.7755","Root","Control",8,"RCO08","Root_Control_TP08","TP08R2","TP8R2",1,"t642",2,15,0.227873171264922,0.425477071822342,0.0674718198651036,2,-2.92868787224785,0.002,999,2.92868787224785
"SRR8743235_quant",3300,"4.4949","0.8069",12,"3.1458","0.8655","Root","Control",9,"RCO09","Root_Control_TP09","TP09R19","TP9R19",1,"t642",19,12,0.310581146069789,0.475232303401122,0.0616466896341683,16,-2.67088400542555,0.016,999,2.67088400542555
"SRR8743236_quant",6365,"4.1760","0.7087",17,"3.4421","0.8765","Root","Control",9,"RCO09","Root_Control_TP09","TP09R2","TP9R2",1,"t642",2,17,0.31007270111708,0.480628621560794,0.0576085278505298,7,-2.9606019595959,0.007,999,2.9606019595959
"SRR8743237_quant",1356,"5.0082","0.8952",14,"2.9238","0.7952","Root","Control",9,"RCO09","Root_Control_TP09","TP09R11","TP9R11",1,"t642",11,14,0.192593646337925,0.433109389688988,0.0655132258296529,1,-3.67125477802682,0.001,999,3.67125477802682
"SRR8743238_quant",2661,"5.4472","0.8930",13,"3.1895","0.8586","Root","Control",10,"RCO10","Root_Control_TP10","TP10R19","TP10R19",1,"t642",19,13,0.231851310616162,0.47052712859631,0.0612735825932943,1,-3.89524829263483,0.001,999,3.89524829263483
"SRR8743239_quant",12112,"9.5762","0.9893",14,"3.2585","0.8682","Root","Control",10,"RCO10","Root_Control_TP10","TP10R11","TP10R11",1,"t642",11,14,0.25269333314371,0.47412511889639,0.0600287161465786,1,-3.6887643109339,0.001,999,3.6887643109339
"SRR8743240_quant",4964,"6.2634","0.9257",10,"2.6393","0.7870","Root","Control",10,"RCO10","Root_Control_TP10","TP10R2","TP10R2",1,"t642",2,10,0.232633113788338,0.432315106395512,0.0715610701267324,7,-2.79037180765385,0.007,999,2.79037180765385
"SRR8743241_quant",7223,"8.1514","0.9620",12,"3.1703","0.8632","Root","Control",11,"RCO11","Root_Control_TP11","TP11R19","TP11R19",1,"t642",19,12,0.184824962288338,0.472022993717281,0.0612558031335343,1,-4.68850323948683,0.001,999,4.68850323948683
"SRR8743242_quant",12659,"9.7536","0.9876",13,"3.1487","0.8499","Root","Control",11,"RCO11","Root_Control_TP11","TP11R11","TP11R11",1,"t642",11,13,0.204407070822314,0.465355062138668,0.0613808131977792,1,-4.25129576689601,0.001,999,4.25129576689601
"SRR8743243_quant",8690,"5.0675","0.8136",13,"3.0728","0.8430","Root","Control",11,"RCO11","Root_Control_TP11","TP11R02z","TP11R2",1,"t642",2,13,0.203768291615243,0.461769978657076,0.0636527157458114,1,-4.05327068953551,0.001,999,4.05327068953551
"SRR8743244_quant",9962,"8.4735","0.9683",15,"3.3170","0.8636","Root","Control",12,"RCO12","Root_Control_TP12","TP12R11","TP12R11",1,"t642",11,15,0.238395929910468,0.471644450928752,0.0585002671085968,1,-3.98713600034156,0.001,999,3.98713600034156
"SRR8743245_quant",12900,"9.9356","0.9923",16,"3.4800","0.8880","Root","Control",12,"RCO12","Root_Control_TP12","TP12R2","TP12R2",1,"t642",2,16,0.351762376942149,0.485709100368619,0.0561175804072437,21,-2.38689413289779,0.021,999,2.38689413289779
"SRR8743246_quant",14158,"10.1165","0.9899",20,"3.6556","0.8857","Root","Control",12,"RCO12","Root_Control_TP12","TP12R19","TP12R19",1,"t642",19,20,0.274389426163912,0.485198121498197,0.0543697752787934,1,-3.87731408219577,0.001,999,3.87731408219577
"SRR8743247_quant",12342,"8.7080","0.9599",14,"3.0683","0.8205","Root","Control",13,"RCO13","Root_Control_TP13","TP13R19","TP13R19",1,"t642",19,14,0.212027797799816,0.448158753911939,0.0617917183333318,1,-3.82140135411557,0.001,999,3.82140135411557
"SRR8743248_quant",10970,"9.0237","0.9762",12,"3.0102","0.8480","Root","Control",13,"RCO13","Root_Control_TP13","TP13R2","TP13R2",1,"t642",2,12,0.144039478953168,0.464007844623086,0.0650417404393922,1,-4.91943117617022,0.001,999,4.91943117617022
"SRR8743249_quant",13757,"9.6600","0.9841",15,"3.4901","0.8903","Root","Control",13,"RCO13","Root_Control_TP13","TP13R11","TP13R11",1,"t642",11,15,0.284956501676309,0.486845569899248,0.0548523889351485,2,-3.68058843274139,0.002,999,3.68058843274139
"SRR8743250_quant",11921,"9.7161","0.9873",11,"2.9152","0.8260","Root","Control",14,"RCO14","Root_Control_TP14","TP14R11","TP14R11",1,"t642",11,11,0.19788508672865,0.451046394855291,0.0674232761639734,1,-3.75480579601254,0.001,999,3.75480579601254
"SRR8743251_quant",8931,"8.9789","0.9841",15,"3.3593","0.8724","Root","Control",15,"RCO15","Root_Control_TP15","TP15R19","TP15R19",1,"t642",19,15,0.238149196799357,0.475748820309742,0.0587322775080662,1,-4.04546926479658,0.001,999,4.04546926479658
"SRR8743252_quant",17230,"9.8689","0.9840",13,"3.2608","0.8636","Root","Control",15,"RCO15","Root_Control_TP15","TP15R11","TP15R11",1,"t642",11,13,0.270014919104224,0.472536767966956,0.0570746170910762,1,-3.54836982155412,0.001,999,3.54836982155412
"SRR8743253_quant",13954,"9.8135","0.9865",14,"3.4252","0.8930","Root","Control",17,"RCO17","Root_Control_TP17","TP17R11","TP17R11",1,"t642",11,14,0.284989301790634,0.488643595915514,0.0558649266389538,1,-3.64547680230686,0.001,999,3.64547680230686
"SRR8743254_quant",6655,"7.6333","0.9436",14,"3.2142","0.8687","Root","Control",17,"RCO17","Root_Control_TP17","TP17R19","TP17R19",1,"t642",19,14,0.208250449635904,0.47349083987129,0.0619384777880799,1,-4.28232012970831,0.001,999,4.28232012970831
"SRR8743255_quant",16584,"10.7654","0.9957",16,"3.2784","0.8650","Root","Control",17,"RCO17","Root_Control_TP17","TP17R2","TP17R2",1,"t642",2,16,0.224241649291552,0.472861859734657,0.0616020211694992,2,-4.03590995430201,0.002,999,4.03590995430201
