,Group_2,Group_1,RCO02,RCO03,RCO04,RCO05,RCO06,RCO07,RCO08,RCO09,RCO10,RCO11,RCO12,RCO13,RCO14,RCO15,RCO16,RCO17,RPR03,RPR04,RPR05,RPR06,RPR07,RPR08,RPR09,RPR10,RPR11,RPR12,RPR13,RPR14,RPR15,RPR16,RPR17,RPO09,RPO10,RPO11,RPO12,RPO13,RPO14,RPO15,RPO16,RPO17,ZCO03,ZCO04,ZCO08,ZCO09,ZCO10,ZCO11,ZPR03,ZPR04,ZPR08,ZPR09,ZPR10,ZPO10,ZPO11,SCO04,SCO08,SCO09,SCO10,SCO11,SPR04,SPR08,SPR09,SPR10,SPO10,SPO11
jgi.Gloin1.6912.gm1.6800_g,Sporulation,spore,1.3582767,0,0,0,0,0,0,0,0.8753783,3.72978,0,1.3056383,6.62799,0.431844,0,7.4493133,0,0,0,0,0,0,0,0,0,2.5456833,0,4.90224,0,1.630065,5.379995,2.0722667,7.9104333,17.66175,43.84645,9.5097833,0,2.66154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3627985,0.4827855,0,0,0.320958,0,0.425233
jgi.RhiirA1_1.529698.estExt_Genemark1.C_520010,Sporulation,spore,2.03065,0,0,0,0.1183578,0,0.5126067,0.2150717,5.1130167,2.440655,6.564314,4.7717117,8.692575,3.46032,3.48522,3.2881183,0,0,0,0,0,0,1.44376,0.6750617,0,0,1.1423867,5.17805,1.55719,2.764275,8.1198217,1.1724965,4.1702783,3.33311,5.3537,4.4428317,1.72305,0.8512083,0.2181585,3.66228,0.1837235,0,0.364109,0,0.5562955,0.0771785,0,0,0,0,0.1602805,0.219951,0.1230645,0.5583705,0.3752775,0,0.143904,0.280039,3.21577,0,0.4653965,0.2957145,0,0.5634745
jgi.RhiirA1_1.531925.estExt_Genemark1.C_1570001,Sporulation,spore,0.6457167,0,0,3.4728333,0,0,0,0,0,1.0604017,3.46451,3.0507892,0.000055,5.285348,6.95991,13.6223333,0,0,0,0,0,0,0,0,0,0,0,5.29825,0,2.30862,8.4427833,0,0,4.6235167,0,0,0,0,2.427855,0,0.832335,0,0.632496,0,1.2157495,0,0,0,1.3915,0,0.383602,0,0,1.337925,0.468435,0.84207,0,0.354504,1.997765,0,0.927575,0,1.017158,0.281893
jgi.Gloin1.110778.CE10654_1100,Sporulation,spore,0,0,0,0,0,0,0,0,0,1.15847,1.23397,0,19.54665,0,11.4195,8.231533,0,0,0,0,0,0,0,0,0,4.45045,0,5.92545,3.97135,0,0,0,5.473957,4.57975,0,0,17.24035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.399713,0,0,0,0,0,0,0,0,0
jgi.RhiirA1_1.99612.CE99611_1651,Sporulation,spore,0,0,0,0,0,0,0,0,0,5.307137,1.911164,2.367233,3.49431,1.565936,0,1.789667,0,0,0,5.46745,0,0,0,0,0,4.615533,0,0,0,0,6.8313,0,0,0,8.73115,0,8.1148,0,0,4.5495,0,0,0,0,0,0,1.40758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jgi.Rhice1_1.684211.gw1.60.97.1,Sporulation,spore,0,0,0,0,0,0,0,0,9.1796,0,0,17.4628,0,0,9.43659,8.403683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.223295,0,0,0,0,0,0,1.871745,0,0,0,0,0,0,0,0,0,0,0
jgi.Gloin1.149238.CE49114_533,Sporulation,spore,0.29075,0,0,0,0,0,0,0.9713033,1.529795,2.71195,4.174958,5.41163,3.532245,2.23525,0.850562,5.2837483,0,0,0,0,0,0,0,0,0,0,0,0,0,2.310425,2.4471483,1.9586833,0,1.5078233,2.27584,1.131945,4.42797,0.6246217,0,1.1858617,0,0.917505,0.197577,0.120654,0.293785,0.117045,0.406014,0,0,0,0.2376645,0.2208435,0.4829175,0,0.3306925,0,0.3830035,0,0.5534025,0.568775,1.426745,0,0,0
jgi.Rhice1_1.247312.CE247100_23337,Sporulation,spore,0,0,0,0,1.8087,0,0,0,0,8.0759233,4.211766,0.9693983,0,3.721026,10.3838,3.11305,0,0,0,0,0,0,0,0,0,0,0,0,2.3695225,0,0,0,0,4.3982667,0,0,0,0,0,4.0931333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jgi.Rhice1_1.820336.gm1.9120_g,Sporulation,spore,0,0,0,0,0,0,0,0,2.147017,2.020133,2.04378,3.04276,6.34805,0,0,2.19725,0,0,0,0,0,0,0,0,0,0,0,6.0192,3.09465,1.09189,0,0,0,0,0,6.19705,0,0,0,6.161983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16815,0,0,0,0,0
jgi.Rhidi1.742319.estExt_fgenesh1_pg.C_1700020,Sporulation,spore,0,0,0,5.34145,0,0,0,0,0,0,2.36714,0,2.7492,2.742002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.426305,0,0,1.607978,0,0,0,0,2.265183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jgi.Rhice1_1.392816.CE392604_26487,Sporulation,spore,0,0,0,0,0,0,0,0,0,0,0,3.79712,0,2.61206,0,5.004088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.737245,0,0,0,0,0,0,0
jgi.Gigro1.2184212.gm1.32886_g,Sporulation,spore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8316,0,0,0,0,0,0,0,1.902775,0,1.24109,0,0,0,0,0,0,0,1.318545,0,0,1.666475,0,1.464105,1.558555,0,1.94309,3.0383,0,0,0,0
jgi.Rhice1_1.65120.CE64908_148590,Sporulation,spore,0,0,0,0,0,0,0,0,0,0,0,0,0,0.997352,0,2.279683,0,0,0,0,0,0,0,0,0,0,0,0,8.787075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.498391,0.72819,0,0,0,0,0,0,0,0,0,1.4106,0,0,0,1.02642,0,0,0,0,0
jgi.RhiirA4.446902.estExt_fgenesh1_pg.C_10110003,Sporulation,spore,0,0,0,0,0,0,0,0,0,0.2925583,0.600014,0,0,0.1535794,0.640065,0.5616533,0,0,0,0,0,0,0,0,0,0,0,0,1.353095,0,0.3466867,0,1.20969,1.1346683,0,0.7691283,0,0,0,0,0,0,0,0,0.133381,0,0.60805,0,0,0,0,0,0.118854,0.254304,0,0,0.103927,0.1181555,0.302401,0,0.2501905,0,0,0
jgi.RhiirA5.402676.estExt_fgenesh1_pg.C_14740004,Sporulation,spore,0,0,0,1.1533283,0,0.658915,0,0,0,0,3.160966,0.6734217,1.031425,0,0,0,0,0,0,0,0,0,0,0,0,0,0.688085,0,0,0,0.5217017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jgi.RhiirA4.548574.estExt_Genemark1.C_17240005,Sporulation,spore,0,0,0,0,0,0,0,0,0,0,0,0,0,0.440934,0.918831,2.490487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.059483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.398208,0,0,0,0,0,0,0
jgi.Rhiir2_1.1424046.gw1.469.8.1,Sporulation,spore,0,0,0,0,0,0,3.33E-07,0,0,0,0,0.24189,0,0,0,0,0,0,1.646872,0,0,0,1.505963,0,0,0,1.67E-07,0,0,0,0,0,0,0,0,1.732937,0,0,0,0.8618433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122761,0,0,0,0,0,0
jgi.Rhidi1.751205.gm1.2279_g,Sporulation,spore,0,0,0,0,0,0.943405,0,0,0,0,0,0,0,0,0.691397,0,0,0,0,0,0,0,0,0,0,0,1.030592,0,0,0.76823,0,0,0,0,0,0,0,0,0,2.3992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67674,0,0,0,0,0
jgi.Rhidi1.790758.MIX12054_251_76,Sporulation,spore,0,0,0,0,0.5293417,0,0,0,0,0.29472,1.813266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3492467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jgi.RhiirA4.144121.CE144120_837,Sporulation,spore,0,0,0,0,0,0,0,0,0,0,0,0.6321417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.63755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56535,0
jgi.Rhiir2_1.1760705.estExt_Genewise1Plus.C_5520003,Sporulation,spore,0,0,0,0,0,0,0,0,0,0,0,0.2771267,0,0,0,0.24923,0,0,0,0,0,0,0,0,0,0,1.2147033,0,0,0,0,0,0,0,0,0,0,0.6237867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jgi.Rhice1_1.831676.gm1.20460_g,Sporulation,spore,0,0,0,0,0,0,0,0,0,0,1.012252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3501833,0,0,0,0,0,0,0,0,0,0.192397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2089375
jgi.RhiirC2.844829.estExt_Genemark1.C_1560007,Sporulation,spore,0,0,0,0,0,0,0,0,0,0,0.631156,0,1.153985,0,0,1.029707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jgi.Rhidi1.225962.CE225852_3157,Sporulation,spore,0,0,0,0,0,0,0,0,0,0,0,0.2734633,0.9481,0.295252,0.307626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6158,0.76065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172471,0,0,0,0,0
jgi.Rhice1_1.385663.CE385451_29488,Sporulation,spore,0,0,0,0,0,0,0,0,1.1232767,0,0,0.3765933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4184735,0,0.127197,0,0,0,0
jgi.Rhidi1.761334.gm1.12408_g,Sporulation,spore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.577155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jgi.Gloin1.1569.gm1.1457_g,Sporulation,spore,0,0.3418617,0,0,0,0,0,0,0,0,1.0018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jgi.RhiirA4.284740.gw1.2226.1.1,Sporulation,spore,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230474,0,0,0,0,0,0,0,0,0,0,0,0,0.7158867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jgi.Rhidi1.116403.CE116293_137,Sporulation,spore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4872295,0,0,1.0861355,0,0,0.559925,0,0,0,0,0,0,0
jgi.RhiirA1_1.491539.MIX3856_685_97,Sporulation,spore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.687915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jgi.RhiirA5.502445.estExt_Genemark1.C_9210005,Sporulation,spore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6506683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jgi.Rhiir2_1.1886599.estExt_Genemark1.C_6750005,Sporulation,spore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jgi.Gloin1.8229.gm1.8117_g,Sporulation,spore,0,0,0,0,0,0,0,0,0,0,0,0,1.897925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jgi.Rhice1_1.714274.estExt_Genewise1.C_3220003,Sporulation,spore,0,0,0,0,0,0,0,0,0,0,0,0.2824217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3441617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jgi.RhiirA5.401499.estExt_fgenesh1_pg.C_9960003,Sporulation,spore,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jgi.Rhidi1.761530.gm1.12604_g,Sporulation,spore,0.1157083,0,0,0,0,0,0,0,0,0,0.1982496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1555705,0,0.173393,0,0.4680195,0,0,0
jgi.RhiirA4.478212.gm1.28008_g,Sporulation,spore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49966,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jgi.RhiirA4.441465.estExt_fgenesh1_pg.C_1530015,Sporulation,spore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17442
jgi.RhiirA1_1.470168.gm1.22533_g,Sporulation,spore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216729,0.1735433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2303967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1204565,0,0,0,0,0
jgi.Rhidi1.816920.estExt_Genemark1.C_2800022,Sporulation,spore,0,0,0,0,0,0,0,0,0,0,0,0,0,0.271676,1.13485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jgi.Rhice1_1.809678.estExt_fgenesh1_pg.C_6260006,Sporulation,spore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.353668,0,0,0,0,0,0.4574395
jgi.RhiirA4.498950.MIX5489_389_49,Sporulation,spore,0,0,0,0,0,0,0,0,0,0,0,0.2380133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0702255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jgi.Rhice1_1.547665.CE547453_7636,Sporulation,spore,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jgi.RhiirA4.545950.estExt_Genemark1.C_8520007,Sporulation,spore,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000082,1.49531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jgi.RhiirA1_1.539007.estExt_Genemark1.C_9340008,Sporulation,spore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jgi.Rhice1_1.729772.estExt_Genewise1Plus.C_7610001,Sporulation,spore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.398579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1549475,0,0,0
jgi.Gigro1.2174586.gm1.23260_g,Sporulation,spore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.277448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jgi.RhiirA5.274333.estExt_Genewise1.C_5850004,Sporulation,spore,0,0,0,0,0,0,0,0,0,0,0,0.000261167,0,0,0,0,0,0,0,0,0,0,0.0149355,0,0,0,0,0,0,0,0,0,0,0,0,0.005298167,0,0,0,0.003197167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000343,0,0,0,0,0,0
jgi.RhiirA5.493228.estExt_Genemark1.C_210015,Sporulation,spore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004929,0.003665167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0046235,0,0,0,0,0
jgi.RhiirA1_1.495706.MIX8023_53_12,Sugar,Sugar,0.8459483,0,0,1.92155,0.644295,0.878145,1.022275,4.860455,3.12175,13.9402683,13.22742,20.16705,22.262,16.104386,21.1804,18.90609,0,0,0,0,0,0,0,2.6442,0,9.4291167,4.04965,2.52134,12.5032,10.145025,16.5463133,5.0438933,13.2202117,13.552275,7.04973,3.27908,3.49044,5.52234,6.4088,14.4512333,0,0,0.4761925,0,0.5171,0,0,0,0,0.870905,0.499071,0,0.241124,0,0.2541975,0.2777125,0.407258,0.494689,1.05278,0,0.2453645,0,0.5286255,0.787267
jgi.Gloin1.12072.gm1.11960_g,Sugar,Sugar,1.1619667,4.7553667,1.03352,0,0.7183933,1.19727,0,1.8913945,21.873245,9.719965,7.994954,6.4348333,0,1.34904,0,0.9598683,1.8581333,0,0,0,0,0,6.5900718,0,0,3.58045,6.5219195,4.76709,0,0.97232,4.3682667,9.5173667,0,0,0,0,0,0,0,0,0,0,0.317426,0,0.3441675,0.4588275,0,0,0,0,0,0,0,0,0.2565615,0.3662705,0.3805125,0,1.7610395,0,1.317135,0,0,0
jgi.Gloin1.3690.gm1.3578_g,Sugar,Sugar,4.860117,0,0,0,0,9.24605,8.7056,0,13.374617,9.61205,7.80528,7.827553,7.2366,1.6215,3.37893,6.407667,0,0,0,0,0,0,0,0,0,6.9842,5.623117,13.27365,0,0,7.320667,0,0,0,0,0,0,0,0,0,0,0,1.97968,0,0,0,2.519375,0,0,0,0,0,0,0,1.040855,0,0,1.004895,1.388438,0,1.08433,0,0,0.70472
jgi.Rhice1_1.843032.gm1.31816_g,Sugar,Sugar,10.3434,0,0,0,46.45933,0,0,0,0,0,17.72192,13.44915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1218,0,0,0,0,0
jgi.Rhidi1.735519.estExt_fgenesh1_pm.C_180001,Sugar,Sugar,0.49015667,3.89607333,0,2.14645,0,0.980925,1.71288333,4.63976033,6.21328333,9.35630667,5.566444,5.82030333,0,2.046368,0,2.450217,0,0,0,0,0,0,0,0,0,2.59829083,0.0276295,0,0.0138755,0.796625,9.99722167,10.38915,2.30342617,1.246426,0,3.9854,0,2.10601667,0,0.03989983,0,0,0,0,0.286575,0.1682805,0,0,0,0,0,0,0,0,1.08722,0,0,0.2956165,1.72352,1.247465,0,0.004466,0,0.001202
jgi.RhiirC2.470966.CE470870_3048,Sugar,Sugar,0,0,0,0,0,0,3.44415,1.8000833,0,0.4197167,1.78828,0,9.18111,2.996142,3.62376,1.617635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8913,2.58125,19.1518667,8.4355,6.1026417,12.126225,0,7.86995,4.0282667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.654665
jgi.Gloin1.155358.CE55234_642,Sugar,Sugar,4.2787967,0,0,0,0,1.12668,0,0,4.8438,2.6786,1.007478,6.362855,2.53796,2.414,6.58784,7.7586767,0,0,0,0,0,0,0,0,0,0,4.4361233,0,3.0066,0,6.0739067,4.4276117,0,1.3952067,0,1.5258567,0,0,0,2.2962,0,0,0.300182,0,0,0,0.74887,0,2.27448,0,0,0,0.3038,0,0.3093775,0,0,0,4.02435,0,1.956808,0,0,0
jgi.Rhidi1.631542.e_gw1.632.3.1,Sugar,Sugar,2.829405,0,0,4.174933,0,0,0,0,0,1.8121,0,3.597348,10.48205,5.152884,0,7.762863,0,0,0,0,0,0,0,0,0,0,0,0,11.983225,0,2.745783,6.80795,0,1.744833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jgi.Rhidi1.809388.estExt_Genemark1.C_80086,Sugar,Sugar,0.6442567,0,0,0,0.8569433,2.335975,3.5591283,0,0,0.7803917,4.55453,7.2713333,10.52415,0,0.853681,1.8728,0,0,0,0,0,0,0,0,0,0,2.8422382,0,0,0,4.1981398,2.0485167,2.8013638,5.0504093,4.80825,4.3613583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3026515,0.3152965,0.550745,0,0,0,0
jgi.Rhice1_1.871188.estExt_Genemark1.C_220039,Sugar,Sugar,0.000362,0,0,0,0,0,0.6111183,0,2.8486767,7.173735,3.225402,2.7485333,0,1.824568,5.37162,4.1140617,0,0,0,0,0,0,0,1.6349817,0,0,0,0,4.20265,2.274975,1.7678433,5.39235,0,0,0,5.1185133,0,1.1425567,0,0,0,0,0,0,0.305143,0,0,0,0,0,0,0.395203,0.2846835,0,0.433164,0,0,0.2738155,0,0,0,0,0,0.1891065
jgi.RhiirA4.455802.gm1.5598_g,Sugar,Sugar,1.5837033,0,0,0.4468367,0,0.58982,0,0.2516017,3.6304883,0.6776667,4.751934,0.5709583,0,0.711486,4.74604,3.8582833,0,0,0,0,0,0,0,0,0,0,1.2336617,1.45606,0,0,0.904745,0,4.2998833,5.01125,12.52605,3.8976167,0,3.719995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2847365,0.420683,0,0,0.6811665,0,0,0,0,0.1470305,0.297321
jgi.RhiirA1_1.509654.MIX21971_23_8,Sugar,Sugar,1.142146,0,0,0,0.0000145,0.000026,2.52E-05,5.516517,0,1.33E-06,0.0000012,5.33E-06,5.366869,1.393884,0,6.423001,0,0,0,0,0,0,0,0,3.566083,4.72595,1.245125,0,0,0.92812,4.948288,3.318057,0.0000135,1.08E-05,4.47005,5.07E-05,0,0,0,0,0,0,0,0,0.329855,0,0,0,0,0,0,0,0,0,0,0,0,0.338284,0,0.000004,0,0,0,0.204896
jgi.Rhice1_1.684790.e_gw1.1.44.1,Sugar,Sugar,0,0,0,0,0,0,1.9771,0,2.1022,2.1288833,6.233746,2.102215,1.64348,2.721588,4.60425,5.3102683,0,0,0,0,0,0,0,0,0,0,1.531125,0,0,0,0.93656,2.7905167,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1792925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.553005,0,0
jgi.RhiirB3.461970.gm1.37941_g,Sugar,Sugar,0,0,0,0,0,0,0,0,0,0,5.0226,9.570717,0,14.59184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31635,0,0,0,0,0,0
jgi.Rhiir2_1.1451798.e_gw1.45.70.1,Sugar,Sugar,0,0,0,0,0,0,0,0,0,0,0,2.352827,0,6.601994,3.13613,3.34295,0,0,0,0,0,0,0,0,0,0,0,0,0,4.13219,0,0,3.16915,1.853183,0,2.359717,0,0,0,4.855867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jgi.Gloin1.305647.CE205523_170,Sugar,Sugar,0,0,0,0,0,0,0,0,0,0.914558333,1.171888,1.15131,0,0,2.02605,2.656471667,0,0,0,0,0,0,0,0,0,3.820983333,0,0,0,0.667385,0,0.002689167,0,3.2926,0,0,0,0,0,11.37154667,0,0,0.249717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73668,0,0.2575885,0,0,0
jgi.Gloin1.7986.gm1.7874_g,Sugar,Sugar,0,0,0,0,0,0,0,0,0,0,3.29064,0,0,3.179858,2.65855,1.4169383,0,0,0,0,0,0,0,0,0,0,0,4.827585,0,4.705435,6.0517833,0,0,0,0,0,0,0,8.8487,0,0,0,0,0,0,0,0,0,0,0,0.4722785,0,0,0,0,0,0,0.71523,0,0,0,0,0,0
jgi.Rhiir2_1.1845971.estExt_fgenesh1_pg.C_2640011,Sugar,Sugar,0.5221,0,0,0,0,0,0,0,0.76497,0.3594383,2.895164,2.4826817,0,1.320818,0.428826,2.3078383,0,0,0,1.380175,0,0,0,0,0,0.581935,0,0,0,0.4368865,3.58215,0,0.4925333,0,0,0,0,0,0,1.0189967,0,0,0.6317465,0.420337,0,0,0.371119,0,0,0,0.156438,0.2119675,0,0,0.3995395,0.3483055,0.177503,0.1443475,0.21902,0,0.156412,0.1448455,0,0.099435
jgi.Rhiir2_1.1775313.gm1.14067_g,Sugar,Sugar,0,0,0,0,0,0,0,0,2.5984233,3.22967,1.925248,2.4556667,1.59603,0.545442,0.776769,0.6674567,0,0,0,0,0,0,0,0,0,0,0,0,6.9243975,2.51116,0,0,0,0,0,0.71213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
