,Group_2,Group_1,RCO02,RCO03,RCO04,RCO05,RCO06,RCO07,RCO08,RCO09,RCO10,RCO11,RCO12,RCO13,RCO14,RCO15,RCO16,RCO17,RPR03,RPR04,RPR05,RPR06,RPR07,RPR08,RPR09,RPR10,RPR11,RPR12,RPR13,RPR14,RPR15,RPR16,RPR17,RPO09,RPO10,RPO11,RPO12,RPO13,RPO14,RPO15,RPO16,RPO17,ZCO03,ZCO04,ZCO08,ZCO09,ZCO10,ZCO11,ZPR03,ZPR04,ZPR08,ZPR09,ZPR10,ZPO10,ZPO11,SCO04,SCO08,SCO09,SCO10,SCO11,SPR04,SPR08,SPR09,SPR10,SPO10,SPO11
jgi.Rhice1_1.324914.CE324702_7296,Ank_2,PT,0,0,0,0,0,0,0,0,0,0,7.13898,0,0,0,0,0.8013867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jgi.Rhice1_1.694703.e_gw1.225.21.1,Ank_2,PT,0,0,0,0,0,0,0,0,0,0,1.372178,0,0,0,0,1.4263967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1130333,0,0.81447,0,0,0,0,0,0,0,0,0,0,0,0,0.1745985,0,0,0,0,0,0,0,0.3065155,0.24791,0,0,0.234059,0.4877495,0,0,0,0.275621,0
jgi.Rhice1_1.80743.CE80531_23444,Ank_2,PT,0,0,0,0,0,0,0,0,0,0.6534833,0,0,0,0,0,0.2892617,0,0,0,0,0,0,0,0,0,0,0,1.421355,0,0,0.45306,0,0,0.6130233,0,2.3645133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091702
jgi.Rhice1_1.840982.gm1.29766_g,Ank_2,PT,0,0,0,0,0,0,0,0,0,1.1887567,1.212088,0.5779917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7935467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2876655,0,0,0,0,0,0,0
jgi.Rhidi1.794490.MIX15786_365_83,Ank_2,PT,0,0,0,0,0,0,0,0,0,0,1.121992,0.4156483,0.4263295,0,0.199062,0.159143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3372667,0,0,0,0,0.75121,0,0,0,0.077166,0,0,0,0,0,0,0,0,0,0,0.079878,0,0,0,0,0.363857,0,0,0,0,0.051035
jgi.RhiirA1_1.450240.gm1.2605_g,Ank_2,PT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.30955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245892,0,0,0.50802,0,0,0,0
jgi.Rhice1_1.874781.estExt_Genemark1.C_1190004,Ank_2,PT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jgi.Gigro1.1941547.gw1.473.33.1,Ank_2,PT,0,0,0,0,0,0,0,0,0,0,0,0.500515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2408835,0,0,0,0,0,0
jgi.Gigro1.1254418.CE1254417_3273,Ank_2,PT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.526225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jgi.Rhice1_1.277357.CE277145_8075,Ank_2,PT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.915345,0,0,0,0,0,0,0,0,0.57579
