gene_id,Modall,Mod1,Mod3,Mod4
jgi|Rhicl1|25123|transcript:GBB89299,0,0,0,0
jgi|Rhicl1|22746|transcript:GBB83673,0,0,0,0
jgi|Gloin1|349306|fgenesh1_kg.24108_#_1_#_ACTTGA_L001_R1_(paired)_contig_2681,0,0,0,0
jgi|Rhidi1|771450|gm1.22524_g,0,0,0,0
jgi|RhiirA4|410387|fgenesh1_kg.1767_#_1_#_ACTTGA_L001_R1_(paired)_contig_4897,0,0,0,0
jgi|RhiirA4|539870|estExt_Genemark1.C_1580022,0,0,0,0
jgi|Rhice1_1|761121|fgenesh1_kg.90_#_50_#_TRINITY_DN20345_c7_g10_i1,0,0,0,0
jgi|Rhiir2_1|1500026|fgenesh1_kg.6_#_1181_#_MblContig143,0,0,0,0
jgi|Rhidi1|812920|estExt_Genemark1.C_1040032,0,0,0,0
jgi|RhiirB3|525318|estExt_Genemark1.C_4590008,0,0,0,0
jgi|Rhiir2_1|1479710|fgenesh1_pg.127_#_20,0,0,0,0
jgi|Rhidi1|405065|CE404955_463,0,0,0,0
jgi|RhiirB3|450250|gm1.26221_g,0,0,0,0
jgi|RhiirA1_1|426570|fgenesh1_kg.1240_#_11_#_TR24|c0_g1_i2,0,0,0,0
jgi|RhiirC2|769728|gm1.2210_g,0,0,0,0
jgi|Gigro1|1976842|e_gw1.1017.5.1,0,0,0,0
jgi|Rhice1_1|830970|gm1.19754_g,0,0,0,0
jgi|RhiirC2|868001|estExt_fgenesh1_pg.C_9940004,0,0,0,0
jgi|RhiirA4|540985|estExt_Genemark1.C_2380005,0,0,0,0
jgi|Rhiir2_1|1869892|estExt_Genemark1.C_250002,0,0,0,0
jgi|Rhicl1|17209|transcript:GBC05433,0,0,0,0
jgi|Gloin1|5035|gm1.4923_g,0,0,0,0
jgi|Rhidi1|753693|gm1.4767_g,0,0,0,0
jgi|Gloin1|14031|gm1.13919_g,0,0,0,0
jgi|Rhicl1|21552|transcript:GBC09487,0,0,0,0
jgi|RhiirA1_1|528246|estExt_Genemark1.C_50052,0,0,0,0
jgi|Rhicl1|8615|transcript:GBB85755,0,0,0,0
jgi|Gloin1|99454|fgenesh1_pg.26294_#_1,0,0,0,0
jgi|RhiirC2|791145|gm1.23627_g,0,0,0,0
jgi|Rhicl1|20279|transcript:GBC08288,0,0,0,0
jgi|RhiirA1_1|450020|gm1.2385_g,0,0,0,0
jgi|RhiirA1_1|464667|gm1.17032_g,0,0,0,0
jgi|Rhidi1|707423|fgenesh1_kg.280_#_35_#_TRINITY_GG_4923_c10_g1_i1,0,0,0,0
jgi|RhiirA5|296882|e_gw1.1246.5.1,0,0,0,0
jgi|Gloin1|20731|gm1.20619_g,0,0,0,0
jgi|Rhiir2_1|1644517|fgenesh1_kg.165_#_60_#_V1MblContig9211,0,0,0,0
jgi|RhiirB3|512861|MIX36381_3_19,0,0,0,0
jgi|Rhicl1|1890|transcript:GBB93101,0,0,0,0
jgi|Rhiir2_1|1778746|gm1.17500_g,0,0,0,0
jgi|RhiirA5|429062|gm1.23795_g,0,0,0,0
jgi|RhiirA1_1|532100|estExt_Genemark1.C_1660016,0,0,0,0
jgi|Gigro1|2046343|fgenesh1_pg.1667_#_1,0,0,0,0
jgi|RhiirA4|539583|estExt_Genemark1.C_1420014,0,0,0,0
jgi|Gigmar1|8187|rna-F8M41_007394,0,0,0,0
jgi|Gloin1|78602|e_gw1.18143.4.1,0,0,0,0
jgi|Rhicl1|20324|transcript:GBC08333,0,0,0,0
jgi|Gigmar1|10930|rna-F8M41_009756,0,0,0,0
jgi|RhiirA1_1|474199|gm1.26564_g,0,0,0,0
jgi|RhiirA5|417640|gm1.12373_g,0,0,0,0
jgi|Rhicl1|14199|transcript:GBC02597,0,0,0,0
jgi|Rhidi1|747227|estExt_fgenesh1_pg.C_6630008,0,0,0,0
jgi|Rhice1_1|758825|fgenesh1_kg.69_#_97_#_TRINITY_DN14658_c0_g1_i1,0,0,0,0
jgi|RhiirC2|863567|estExt_fgenesh1_pg.C_2710002,0,0,0,0
jgi|Geopyr1|4582|FUN_004429-T1,0,0,0,0
jgi|Gloin1|12157|gm1.12045_g,0,0,0,0
jgi|RhiirC2|847965|estExt_Genemark1.C_3920002,0,0,0,0
jgi|RhiirB3|453884|gm1.29855_g,0,0,0,0
jgi|RhiirA5|494052|estExt_Genemark1.C_570007,0,0,0,0
jgi|Rhiir2_1|1467760|e_gw1.470.19.1,0,0,0,0
jgi|Gloin1|7971|gm1.7859_g,0,0,0,0
jgi|RhiirA4|456579|gm1.6375_g,0,0,0,0
jgi|Rhiir2_1|1880137|estExt_Genemark1.C_1950045,0,0,0,0
jgi|Rhidi1|818506|estExt_Genemark1.C_4000015,0,0,0,0
jgi|Gloin1|22831|gm1.22719_g,0,0,0,0
jgi|Gloin1|18102|gm1.17990_g,0,0,0,0
jgi|Rhiir2_1|1776400|gm1.15154_g,0,0,0,0
jgi|RhiirC2|778983|gm1.11465_g,0,0,0,0
jgi|Rhiir2_1|1880725|estExt_Genemark1.C_2140011,0,0,0,0
jgi|Rhice1_1|816243|gm1.5027_g,0,0,0,0
jgi|RhiirB3|500442|MIX23962_6_11,0,0,0,0
jgi|RhiirC2|853873|estExt_Genemark1.C_13090005,0,0,0,0
jgi|Rhidi1|676158|fgenesh1_pg.774_#_4,0,0,0,0
jgi|Rhicl1|23519|transcript:GBB83745,0,0,0,0
jgi|Rhidi1|667599|fgenesh1_pg.164_#_15,0,0,0,0
jgi|Gigmar1|18978|rna-F8M41_016965,0,0,0,0
jgi|RhiirC2|847245|estExt_Genemark1.C_3300005,0,0,0,0
jgi|Rhice1_1|770139|fgenesh1_kg.181_#_57_#_TRINITY_DN12786_c0_g1_i2,0,0,0,0
jgi|RhiirC2|663486|e_gw1.978.6.1,0,0,0,0
jgi|RhiirA4|423798|fgenesh1_pg.868_#_1,0,0,0,0
jgi|RhiirB3|528133|estExt_Genemark1.C_8510003,0,0,0,0
jgi|RhiirC2|772279|gm1.4761_g,0,0,0,0
jgi|RhiirA4|445825|estExt_fgenesh1_pg.C_7080003,0,0,0,0
jgi|Rhicl1|4289|transcript:GBB95092,0,0,0,0
jgi|Rhiir2_1|1506270|fgenesh1_kg.10_#_754_#_MblContig909,0,0,0,0
jgi|RhiirA4|462258|gm1.12054_g,0,0,0,0
jgi|RhiirA1_1|462458|gm1.14823_g,0,0,0,0
jgi|RhiirB3|449131|gm1.25102_g,0,0,0,0
jgi|RhiirA5|502333|estExt_Genemark1.C_9000004,0,0,0,0
jgi|Rhicl1|9549|transcript:GBB85957,0,0,0,0
jgi|Rhiir2_1|232313|CE232180_32223,0,0,0,0
jgi|Rhiir2_1|1818045|MIX25474_94_73,0,0,0,0
jgi|RhiirB3|447572|gm1.23543_g,0,0,0,0
jgi|Gloin1|323653|MIX5322_2_10,0,0,0,0
jgi|RhiirA4|448297|estExt_fgenesh1_pg.C_17140003,0,0,0,0
jgi|Gloin1|147472|CE47348_288,0,0,0,0
jgi|Rhicl1|8163|transcript:GBB98104,0,0,0,0
jgi|Gloin1|9491|gm1.9379_g,0,0,0,0
jgi|RhiirC2|778263|gm1.10745_g,0,0,0,0
jgi|Rhicl1|14777|transcript:GBC03147,0,0,0,0
jgi|Gloin1|12998|gm1.12886_g,0,0,0,0
jgi|RhiirB3|513687|MIX37207_7_3,0,0,0,0
jgi|Rhiir2_1|1743780|estExt_Genewise1Plus.C_10194,0,0,0,0
jgi|RhiirA5|431456|gm1.26189_g,0,0,0,0
jgi|Gloin1|1729|gm1.1617_g,0,0,0,0
jgi|Gloin1|5745|gm1.5633_g,0,0,0,0
jgi|Rhice1_1|774751|fgenesh1_kg.255_#_31_#_TRINITY_DN13967_c0_g3_i1,0,0,0,0
jgi|Rhidi1|765876|gm1.16950_g,0,0,0,0
jgi|RhiirA5|406197|gm1.930_g,0,0,0,0
jgi|Gigmar1|19122|rna-F8M41_017134,0,0,0,0
jgi|Rhicl1|11309|transcript:GBC00364,0,0,0,0
jgi|Rhiir2_1|1883210|estExt_Genemark1.C_3100017,0,0,0,0
jgi|RhiirA4|440279|estExt_fgenesh1_pg.C_700010,0,0,0,0
jgi|RhiirA5|373704|fgenesh1_pg.288_#_7,0,0,0,0
jgi|RhiirC2|651248|e_gw1.48.16.1,0,0,0,0
jgi|RhiirA4|432311|fgenesh1_pg.6214_#_1,0,0,0,0
jgi|Gloin1|83509|fgenesh1_pg.469_#_1,0,0,0,0
jgi|Gigmar1|22674|rna-F8M41_020241,0,0,0,0
jgi|Rhicl1|6800|transcript:GBB85323,0,0,0,0
jgi|RhiirA1_1|535263|estExt_Genemark1.C_4180014,0,0,0,0
jgi|Rhiir2_1|1531104|fgenesh1_kg.28_#_28_#_MblContig11710,0,0,0,0
jgi|Gloin1|13065|gm1.12953_g,0,0,0,0
jgi|Rhiir2_1|1796360|MIX3789_33_66,0,0,0,0
jgi|RhiirA5|459719|MIX11364_574_51,0,0,0,0
jgi|Rhicl1|23838|transcript:GBB88158,0,0,0,0
jgi|RhiirA4|310581|e_gw1.9.100.1,0,0,0,0
jgi|RhiirA1_1|459415|gm1.11780_g,0,0,0,0
jgi|Gloin1|91936|fgenesh1_pg.12098_#_1,0,0,0,0
jgi|RhiirB3|528727|estExt_Genemark1.C_9710004,0,0,0,0
jgi|Rhiir2_1|1668996|fgenesh1_kg.220_#_34_#_MblContig11881,0,0,0,0
jgi|RhiirA1_1|530049|estExt_Genemark1.C_670010,0,0,0,0
jgi|RhiirA1_1|445901|estExt_fgenesh1_pg.C_15440002,0,0,0,0
jgi|RhiirA5|504553|estExt_Genemark1.C_15270002,0,0,0,0
jgi|RhiirA1_1|444130|estExt_fgenesh1_pg.C_8870001,0,0,0,0
jgi|RhiirA4|478053|gm1.27849_g,0,0,0,0
jgi|RhiirB3|523378|estExt_Genemark1.C_2790018,0,0,0,0
jgi|RhiirB3|523798|estExt_Genemark1.C_3100023,0,0,0,0
jgi|RhiirA4|505321|MIX11860_189_82,0,0,0,0
jgi|RhiirA4|438785|estExt_fgenesh1_pg.C_30020,0,0,0,0
jgi|Rhidi1|672283|fgenesh1_pg.389_#_2,0,0,0,0
jgi|RhiirC2|729131|fgenesh1_kg.73_#_18_#_TR5587|c0_g1_i1,0,0,0,0
jgi|Rhidi1|599658|gw1.304.12.1,0,0,0,0
jgi|RhiirA4|525807|MIX32346_17_8,0,0,0,0
jgi|Rhidi1|769337|gm1.20411_g,0,0,0,0
jgi|Gloin1|25629|gm1.25517_g,0,0,0,0
jgi|RhiirA1_1|521320|MIX33637_85_47,0,0,0,0
jgi|Rhicl1|19636|transcript:GBC07688,0,0,0,0
jgi|RhiirA1_1|530313|estExt_Genemark1.C_780027,0,0,0,0
jgi|Gloin1|33552|gm1.33440_g,0,0,0,0
jgi|RhiirA1_1|536256|estExt_Genemark1.C_5240022,0,0,0,0
jgi|Rhice1_1|882760|estExt_Genemark1.C_11810004,0,0,0,0
jgi|RhiirA1_1|521848|MIX34165_977_39,0,0,0,0
jgi|Gloin1|128395|CE28271_782,0,0,0,0
jgi|RhiirA4|423344|fgenesh1_pg.787_#_3,0,0,0,0
jgi|RhiirA1_1|522147|MIX34464_25_3,0,0,0,0
jgi|RhiirC2|657059|e_gw1.343.26.1,0,0,0,0
jgi|RhiirC2|826206|MIX20359_18_25,0,0,0,0
jgi|Gloin1|9196|gm1.9084_g,0,0,0,0
jgi|Rhicl1|25939|transcript:GBB90003,0,0,0,0
jgi|Rhiir2_1|1745725|estExt_Genewise1Plus.C_180146,0,0,0,0
jgi|Rhidi1|726958|fgenesh1_kg.873_#_1_#_TRINITY_GG_535_c0_g1_i1,0,0,0,0
jgi|Rhice1_1|870564|estExt_Genemark1.C_90090,0,0,0,0
jgi|RhiirA5|381574|fgenesh1_pg.1522_#_4,0,0,0,0
jgi|RhiirA1_1|531914|estExt_Genemark1.C_1560012,0,0,0,0
jgi|Rhiir2_1|1843395|estExt_fgenesh1_pg.C_1610023,0,0,0,0
jgi|Gloin1|340935|fgenesh1_kg.8844_#_1_#_ACTTGA_L001_R1_(paired)_contig_5545,0,0,0,0
jgi|Rhicl1|23078|transcript:GBB87507,0,0,0,0
jgi|Rhice1_1|132983|CE132771_29385,0,0,0,0
jgi|Rhicl1|21517|transcript:GBC09452,0,0,0,0
jgi|Gloin1|86623|fgenesh1_pg.4507_#_1,0,0,0,0
jgi|RhiirA4|540981|estExt_Genemark1.C_2370021,0,0,0,0
jgi|Rhiir2_1|1768145|gm1.6899_g,0,0,0,0
jgi|RhiirA4|359242|estExt_Genewise1Plus.C_6000003,0,0,0,0
jgi|RhiirC2|849129|estExt_Genemark1.C_5040001,0,0,0,0
jgi|Gloin1|343130|fgenesh1_kg.11988_#_3_#_ACTTGA_L001_R1_(paired)_contig_5334,0,0,0,0
jgi|Rhidi1|159193|CE159083_25101,0,0,0,0
jgi|RhiirA1_1|450113|gm1.2478_g,0,0,0,0
jgi|RhiirA1_1|529990|estExt_Genemark1.C_640019,0,0,0,0
jgi|Gloin1|18526|gm1.18414_g,0,0,0,0
jgi|Rhicl1|15289|transcript:GBC03642,0,0,0,0
jgi|RhiirC2|323278|CE323182_189,0,0,0,0
jgi|RhiirB3|520988|estExt_Genemark1.C_1210024,0,0,0,0
jgi|Rhiir2_1|1872702|estExt_Genemark1.C_570006,0,0,0,0
jgi|Rhiir2_1|1687423|fgenesh1_kg.270_#_167_#_MblContig3220,0,0,0,0
jgi|Gigro1|2187551|gm1.36225_g,0,0,0,0
jgi|RhiirA1_1|421831|fgenesh1_kg.651_#_5_#_ACTTGA_L001_R1_(paired)_contig_3909,0,0,0,0
jgi|RhiirA1_1|467622|gm1.19987_g,0,0,0,0
jgi|Rhicl1|23796|transcript:GBB88126,0,0,0,0
jgi|Gigmar1|7236|rna-F8M41_006426,0,0,0,0
jgi|Rhidi1|775269|gm1.26343_g,0,0,0,0
jgi|Rhiir2_1|1781795|gm1.20549_g,0,0,0,0
jgi|Rhicl1|16274|transcript:GBC04567,0,0,0,0
jgi|RhiirA5|506492|estExt_Genemark1.C_28800001,0,0,0,0
jgi|RhiirC2|696413|estExt_Genewise1Plus.C_4890023,0,0,0,0
jgi|RhiirA1_1|370222|estExt_Genewise1.C_14910014,0,0,0,0
jgi|Gloin1|67656|e_gw1.3958.1.1,0,0,0,0
jgi|Gigro1|2131862|fgenesh1_pm.352_#_1,0,0,0,0
jgi|Rhidi1|661430|fgenesh1_pg.7_#_36,0,0,0,0
jgi|RhiirB3|429564|gm1.5535_g,0,0,0,0
jgi|RhiirC2|780223|gm1.12705_g,0,0,0,0
jgi|Rhiir2_1|1778931|gm1.17685_g,0,0,0,0
jgi|Rhice1_1|832321|gm1.21105_g,0,0,0,0
jgi|Rhidi1|757136|gm1.8210_g,0,0,0,0
jgi|Gigro1|2134909|estExt_fgenesh1_pm.C_6340008,0,0,0,0
jgi|Gloin1|1778|gm1.1666_g,0,0,0,0
