Category,Description
jgi|Rhiir2_1|1680111|fgenesh1_kg.250_#_549_#_TRINITY_DN6895_c0_g1_i3,AMF
jgi|Rhicl1|13756|transcript:GBC02166,AMF
jgi|Rhicl1|21177|transcript:GBC09135,AMF
jgi|RhiirC2|772989|gm1.5471_g,AMF
jgi|Rhicl1|27061|transcript:GBB84137,AMF
jgi|Rhice1_1|762214|fgenesh1_kg.100_#_93_#_TRINITY_DN19458_c0_g1_i1,AMF
jgi|Rhidi1|679917|fgenesh1_kg.4_#_80_#_TRINITY_GG_7132_c92_g1_i1,AMF
jgi|Gloin1|343201|fgenesh1_kg.12066_#_2_#_ACTTGA_L001_R1_(paired)_contig_5012,AMF
jgi|Rhidi1|822072|estExt_Genemark1.C_9380002,AMF
jgi|Rhidi1|821645|estExt_Genemark1.C_8100010,AMF
jgi|Rhicl1|21299|transcript:GBC09251,AMF
jgi|Rhidi1|819311|estExt_Genemark1.C_4730005,AMF
jgi|RhiirA5|394494|estExt_fgenesh1_pg.C_500009,AMF
jgi|Gloin1|343491|fgenesh1_kg.12598_#_1_#_ACTTGA_L001_R1_(paired)_contig_5327,AMF
jgi|Rhice1_1|699121|e_gw1.517.32.1,AMF
jgi|Rhice1_1|772131|fgenesh1_kg.213_#_96_#_TRINITY_DN10170_c0_g1_i1,AMF
jgi|Rhicl1|155|transcript:GBB91640,AMF
jgi|Rhicl1|9931|transcript:GBB86037,AMF
jgi|Rhicl1|2003|transcript:GBB93184,AMF
jgi|Rhicl1|11198|transcript:GBC00282,AMF
jgi|Rhicl1|26806|transcript:GBB90758,AMF
jgi|Rhicl1|4255|transcript:GBB95064,AMF
jgi|Rhicl1|5957|transcript:GBB85178,AMF
jgi|Rhicl1|25773|transcript:GBB89855,AMF
jgi|Rhicl1|10136|transcript:GBB99550,AMF
jgi|RhiirA4|335856|estExt_Genewise1.C_120049,AMF
jgi|Rhice1_1|817048|gm1.5832_g,AMF
jgi|Gloin1|10247|gm1.10135_g,AMF
jgi|RhiirA1_1|515707|MIX28024_123_42,AMF
jgi|Rhidi1|707231|fgenesh1_kg.275_#_35_#_TRINITY_GG_6714_c0_g1_i1,AMF
jgi|RhiirA4|401734|fgenesh1_kg.408_#_17_#_ACTTGA_L001_R1_(paired)_contig_2695,AMF
jgi|Rhice1_1|757395|fgenesh1_kg.59_#_58_#_TRINITY_DN19336_c2_g1_i9,AMF
jgi|Rhidi1|701873|fgenesh1_kg.201_#_17_#_TRINITY_GG_3465_c26_g1_i1,AMF
jgi|Gloin1|334280|fgenesh1_kg.441_#_4_#_ACTTGA_L001_R1_(paired)_contig_7636,AMF
jgi|Rhicl1|17830|transcript:GBC05995,AMF
jgi|Rhiir2_1|1697254|fgenesh1_kg.305_#_6_#_TRINITY_DN6654_c1_g2_i1,AMF
jgi|Rhicl1|20204|transcript:GBC08213,AMF
jgi|Gloin1|86510|fgenesh1_pg.4374_#_4,AMF
jgi|Rhidi1|720641|fgenesh1_kg.596_#_57_#_TRINITY_GG_5058_c4_g2_i1,AMF
jgi|Rhidi1|699077|fgenesh1_kg.165_#_74_#_TRINITY_GG_5732_c14_g1_i1,AMF
jgi|Rhicl1|24565|transcript:GBB88791,AMF
jgi|Rhicl1|21646|transcript:GBC09572,AMF
jgi|RhiirA4|397510|fgenesh1_kg.199_#_18_#_ACTTGA_L001_R1_(paired)_contig_3659,AMF
jgi|Rhicl1|19669|transcript:GBC07721,AMF
jgi|Rhicl1|4253|transcript:GBB95062,AMF
jgi|RhiirA1_1|530087|estExt_Genemark1.C_680020,AMF
jgi|Rhice1_1|762065|fgenesh1_kg.99_#_60_#_TRINITY_DN13584_c0_g1_i1,AMF
jgi|RhiirA4|341828|estExt_Genewise1.C_3120041,AMF
jgi|Rhiir2_1|1635586|fgenesh1_kg.150_#_757_#_TRINITY_DN7542_c0_g2_i1,AMF
jgi|Gloin1|341833|fgenesh1_kg.10002_#_2_#_ACTTGA_L001_R1_(paired)_contig_254,AMF
jgi|Rhicl1|16431|transcript:GBC04715,AMF
jgi|Rhiir2_1|1521456|fgenesh1_kg.20_#_728_#_step3_c2211,AMF
jgi|Rhidi1|814253|estExt_Genemark1.C_1500033,AMF
jgi|Rhicl1|19547|transcript:GBC07607,AMF
